Codice ISTAT;Descrizione ISTAT;Ateco description;Codice Completo;Codice Dotless;Codice REA (solo num)
82.30;Organizzazione di convegni e fiere;ORGANIZATION OF CONFERENCES AND FAIRS;N.82.30;N8230;8230
82.30.0;Organizzazione di convegni e fiere;ORGANIZATION OF CONFERENCES AND FAIRS;N.82.30.0;N82300;82300
82.30.00;Organizzazione di convegni e fiere;ORGANIZATION OF CONFERENCES AND FAIRS;N.82.30.00;N823000;823000
82.9;SERVIZI DI SUPPORTO ALLE IMPRESE N.C.A.;BUSINESS SUPPORT SERVICES N.C.A.;N.82.9;N829;829
82.91;"Attività di agenzie di recupero crediti; agenzie di informazioni commerciali";"Debt collection agency activities; commercial information agencies";N.82.91;N8291;8291
82.91.1;Attività di agenzie di recupero crediti;Debt collection agency activities;N.82.91.1;N82911;82911
82.91.10;Attività di agenzie di recupero crediti;Debt collection agency activities;N.82.91.10;N829110;829110
82.91.2;Agenzie di informazioni commerciali;Commercial information agencies;N.82.91.2;N82912;82912
82.91.20;Agenzie di informazioni commerciali;Commercial information agencies;N.82.91.20;N829120;829120
82.92;Attività di imballaggio e confezionamento per conto terzi;Packaging and wrapping activities for third parties;N.82.92;N8292;8292
82.92.1;Imballaggio e confezionamento di generi alimentari;Packaging and wrapping of food products;N.82.92.1;N82921;82921
82.92.10;Imballaggio e confezionamento di generi alimentari;Packaging and wrapping of food products;N.82.92.10;N829210;829210
82.92.2;Imballaggio e confezionamento di generi non alimentari;Packaging and wrapping of non-food products;N.82.92.2;N82922;82922
82.92.20;Imballaggio e confezionamento di generi non alimentari;Packaging and wrapping of non-food products;N.82.92.20;N829220;829220
82.99;Altri servizi di supporto alle imprese n.c.a.;Other business support services n.e.c.;N.82.99;N8299;8299
82.99.1;Imprese di gestione esattoriale;Tax management companies;N.82.99.1;N82991;82991
82.99.10;Imprese di gestione esattoriale;Tax management companies;N.82.99.10;N829910;829910
82.99.2;Agenzie di distribuzione di libri, giornali e riviste;Book, newspaper and magazine distribution agencies;N.82.99.2;N82992;82992
82.99.20;Agenzie di distribuzione di libri, giornali e riviste;Book, newspaper and magazine distribution agencies;N.82.99.20;N829920;829920
82.99.3;Servizi di gestione di pubblici mercati e pese pubbliche;Public market and public weighbridge management services;N.82.99.3;N82993;82993
82.99.30;Servizi di gestione di pubblici mercati e pese pubbliche;Public market and public weighbridge management services;N.82.99.30;N829930;829930
82.99.4;Richiesta certificati e disbrigo pratiche;Request certificates and paperwork;N.82.99.4;N82994;82994
82.99.40;Richiesta certificati e disbrigo pratiche;Request certificates and paperwork;N.82.99.40;N829940;829940
82.99.9;Altri servizi di sostegno alle imprese;Other business support services;N.82.99.9;N82999;82999
82.99.91;Servizi di stenotipia;Stenotyping services;N.82.99.91;N829991;829991
82.99.99;Altri servizi di sostegno alle imprese n.c.a.;Other business support services n.e.c.;N.82.99.99;N829999;829999
O;"AMMINISTRAZIONE PUBBLICA E DIFESA; ASSICURAZIONE SOCIALE OBBLIGATORIA";"PUBLIC ADMINISTRATION AND DEFENSE; COMPULSORY SOCIAL INSURANCE";O;O;
84;"AMMINISTRAZIONE PUBBLICA E DIFESA; ASSICURAZIONE SOCIALE OBBLIGATORIA";"PUBLIC ADMINISTRATION AND DEFENSE; COMPULSORY SOCIAL INSURANCE";O.84;O84;84
84.1;AMMINISTRAZIONE PUBBLICA: AMMINISTRAZIONE GENERALE, ECONOMICA E SOCIALE;PUBLIC ADMINISTRATION: GENERAL, ECONOMIC AND SOCIAL ADMINISTRATION;O.84.1;O841;841
84.11;Attività generali di amministrazione pubblica;General public administration activities;O.84.11;O8411;8411
84.11.1;"Attività degli organi legislativi ed esecutivi, centrali e locali; amministrazione finanziaria; amministrazioni regionali, provinciali e comunali";"Activities of central and local legislative and executive bodies; financial administration; regional, provincial, and municipal administrations";O.84.11.1;O84111;84111
84.11.10;"Attività degli organi legislativi ed esecutivi, centrali e locali; amministrazione finanziaria; amministrazioni regionali, provinciali e comunali";"Activities of central and local legislative and executive bodies; financial administration; regional, provincial, and municipal administrations";O.84.11.10;O841110;841110
84.11.2;Attività di pianificazione generale e servizi statistici generali;General planning activities and general statistical services;O.84.11.2;O84112;84112
84.11.20;Attività di pianificazione generale e servizi statistici generali;General planning activities and general statistical services;O.84.11.20;O841120;841120
84.12;Regolamentazione delle attività relative alla fornitura di servizi di assistenza sanitaria, dell'istruzione, di servizi culturali e ad altri servizi sociali (esclusa l'assicurazione sociale obbligatoria);Regulation of activities related to the provision of health care, education, cultural services and other social services (excluding compulsory social insurance);O.84.12;O8412;8412
84.12.1;Regolamentazione dell'attività degli organismi preposti alla sanità;Regulation of the activities of health care bodies;O.84.12.1;O84121;84121
84.12.10;Regolamentazione dell'attività degli organismi preposti alla sanità;Regulation of the activities of health care bodies;O.84.12.10;O841210;841210
84.12.2;Regolamentazione dell'attività degli organismi preposti all'istruzione;Regulation of the activities of educational bodies;O.84.12.2;O84122;84122
84.12.20;Regolamentazione dell'attività degli organismi preposti all'istruzione;Regulation of the activities of educational bodies;O.84.12.20;O841220;841220
84.12.3;Regolamentazione dell'attività degli organismi preposti alla gestione di progetti per l'edilizia abitativa e l'assetto del territorio e per la tutela dell'ambiente;Regulation of the activities of bodies responsible for managing projects for housing construction and land use planning and for environmental protection;O.84.12.3;O84123;84123
84.12.30;Regolamentazione dell'attività degli organismi preposti alla gestione di progetti per l'edilizia abitativa e l'assetto del territorio e per la tutela dell'ambiente;Regulation of the activities of bodies responsible for managing projects for housing construction and land use planning and for environmental protection;O.84.12.30;O841230;841230
84.12.4;Regolamentazione dell'attività degli organismi preposti ai servizi ricreativi, culturali e sociali vari;Regulation of the activities of organizations responsible for various recreational, cultural and social services;O.84.12.4;O84124;84124
84.12.40;Regolamentazione dell'attività degli organismi preposti ai servizi ricreativi, culturali e sociali vari;Regulation of the activities of organizations responsible for various recreational, cultural and social services;O.84.12.40;O841240;841240
84.13;Regolamentazione delle attività che contribuiscono ad una più efficiente gestione delle attività economiche;Regulation of activities that contribute to a more efficient management of economic activities;O.84.13;O8413;8413
84.13.1;Regolamentazione degli affari concernenti i combustibili e l'energia;Regulation of fuel and energy affairs;O.84.13.1;O84131;84131
84.13.10;Regolamentazione degli affari concernenti i combustibili e l'energia;Regulation of fuel and energy affairs;O.84.13.10;O841310;841310
84.13.2;Regolamentazione degli affari e servizi concernenti l'agricoltura, silvicoltura, caccia e pesca;Regulation of business and services relating to agriculture, forestry, hunting and fishing;O.84.13.2;O84132;84132
84.13.20;Regolamentazione degli affari e servizi concernenti l'agricoltura, silvicoltura, caccia e pesca;Regulation of business and services relating to agriculture, forestry, hunting and fishing;O.84.13.20;O841320;841320
84.13.3;Regolamentazione degli affari e dei servizi concernenti le industrie estrattive e le risorse minerarie (eccetto i combustibili), le industrie manifatturiere, le costruzioni e le opere pubbliche ad eccezione delle strade e opere per la navigazione;Regulation of business and services relating to extractive industries and mineral resources (except fuels), manufacturing industries, construction and public works except roads and navigation works;O.84.13.3;O84133;84133
84.13.30;Regolamentazione degli affari e dei servizi concernenti le industrie estrattive e le risorse minerarie (eccetto i combustibili), le industrie manifatturiere, le costruzioni e le opere pubbliche ad eccezione delle strade e opere per la navigazione;Regulation of business and services relating to extractive industries and mineral resources (except fuels), manufacturing industries, construction and public works except roads and navigation works;O.84.13.30;O841330;841330
84.13.4;Regolamentazione degli affari e servizi concernenti la costruzione di strade;Regulation of business and services relating to road construction;O.84.13.4;O84134;84134
84.13.40;Regolamentazione degli affari e servizi concernenti la costruzione di strade;Regulation of business and services relating to road construction;O.84.13.40;O841340;841340
84.13.5;Regolamentazione degli affari e servizi concernenti la costruzione di opere per la navigazione interna e marittima;Regulation of business and services relating to the construction of works for inland and maritime navigation;O.84.13.5;O84135;84135
84.13.50;Regolamentazione degli affari e servizi concernenti la costruzione di opere per la navigazione interna e marittima;Regulation of business and services relating to the construction of works for inland and maritime navigation;O.84.13.50;O841350;841350
84.13.6;Regolamentazione degli affari e servizi concernenti i trasporti e le comunicazioni;Regulation of business and services relating to transport and communications;O.84.13.6;O84136;84136
84.13.60;Regolamentazione degli affari e servizi concernenti i trasporti e le comunicazioni;Regulation of business and services relating to transport and communications;O.84.13.60;O841360;841360
84.13.7;Regolamentazione degli affari e servizi concernenti il commercio interno;Regulation of business and services relating to internal trade;O.84.13.7;O84137;84137
84.13.70;Regolamentazione degli affari e servizi concernenti il commercio interno;Regulation of business and services relating to internal trade;O.84.13.70;O841370;841370
84.13.8;Regolamentazione degli affari e servizi concernenti il turismo;Regulation of tourism-related business and services;O.84.13.8;O84138;84138
84.13.80;Regolamentazione degli affari e servizi concernenti il turismo;Regulation of tourism-related business and services;O.84.13.80;O841380;841380
84.13.9;Regolamentazione di altri affari e servizi economici;Regulation of other economic affairs and services;O.84.13.9;O84139;84139
84.13.90;Regolamentazione di altri affari e servizi economici;Regulation of other economic affairs and services;O.84.13.90;O841390;841390
84.2;SERVIZI COLLETTIVI DELLE AMMINISTRAZIONI PUBBLICHE;COLLECTIVE SERVICES OF PUBLIC ADMINISTRATIONS;O.84.2;O842;842
84.21;Affari esteri;Foreign Affairs;O.84.21;O8421;8421
84.21.0;Affari esteri;Foreign Affairs;O.84.21.0;O84210;84210
84.21.00;Affari esteri;Foreign Affairs;O.84.21.00;O842100;842100
84.22;Difesa nazionale;National Defense;O.84.22;O8422;8422
84.22.0;Difesa nazionale;National Defense;O.84.22.0;O84220;84220
84.22.00;Difesa nazionale;National Defense;O.84.22.00;O842200;842200
84.23;Giustizia ed attività giudiziarie;Justice and judicial activities;O.84.23;O8423;8423
84.23.0;Giustizia ed attività giudiziarie;Justice and judicial activities;O.84.23.0;O84230;84230
84.23.00;Giustizia ed attività giudiziarie;Justice and judicial activities;O.84.23.00;O842300;842300
84.24;Ordine pubblico e sicurezza nazionale;Public order and national security;O.84.24;O8424;8424
84.24.0;Ordine pubblico e sicurezza nazionale;Public order and national security;O.84.24.0;O84240;84240
84.24.00;Ordine pubblico e sicurezza nazionale;Public order and national security;O.84.24.00;O842400;842400
84.25;Attività dei vigili del fuoco e della protezione civile;Firefighters and civil protection activities;O.84.25;O8425;8425
84.25.1;Attività dei vigili del fuoco;Firefighters' activities;O.84.25.1;O84251;84251
84.25.10;Attività dei vigili del fuoco;Firefighters' activities;O.84.25.10;O842510;842510
84.25.2;Attività di protezione civile;Civil protection activities;O.84.25.2;O84252;84252
84.25.20;Attività di protezione civile;Civil protection activities;O.84.25.20;O842520;842520
84.3;ASSICURAZIONE SOCIALE OBBLIGATORIA;COMPULSORY SOCIAL INSURANCE;O.84.3;O843;843
84.30;Assicurazione sociale obbligatoria;COMPULSORY SOCIAL INSURANCE;O.84.30;O8430;8430
84.30.0;Assicurazione sociale obbligatoria;COMPULSORY SOCIAL INSURANCE;O.84.30.0;O84300;84300
84.30.00;Assicurazione sociale obbligatoria;COMPULSORY SOCIAL INSURANCE;O.84.30.00;O843000;843000
P;ISTRUZIONE;INSTRUCTION;P;P;
85;ISTRUZIONE;INSTRUCTION;P.85;P85;85
85.1;ISTRUZIONE PRESCOLASTICA;PRE-SCHOOL EDUCATION;P.85.1;P851;851
85.10;Istruzione prescolastica;PRE-SCHOOL EDUCATION;P.85.10;P8510;8510
85.10.0;Istruzione di grado preparatorio: scuole dell'infanzia, scuole speciali collegate a quelle primarie;Preparatory level education: nursery schools, special schools connected to primary schools;P.85.10.0;P85100;85100
85.10.00;Istruzione di grado preparatorio: scuole dell'infanzia, scuole speciali collegate a quelle primarie;Preparatory level education: nursery schools, special schools connected to primary schools;P.85.10.00;P851000;851000
85.2;ISTRUZIONE PRIMARIA;PRIMARY EDUCATION;P.85.2;P852;852
85.20;Istruzione primaria;PRIMARY EDUCATION;P.85.20;P8520;8520
85.20.0;Istruzione primaria: scuole elementari;Primary education: elementary schools;P.85.20.0;P85200;85200
85.20.00;Istruzione primaria: scuole elementari;Primary education: elementary schools;P.85.20.00;P852000;852000
85.3;ISTRUZIONE SECONDARIA;SECONDARY EDUCATION;P.85.3;P853;853
85.31;Istruzione secondaria di formazione generale;General secondary education;P.85.31;P8531;8531
85.31.1;Istruzione secondaria di primo grado: scuole medie;Lower secondary education: middle schools;P.85.31.1;P85311;85311
85.31.10;Istruzione secondaria di primo grado: scuole medie;Lower secondary education: middle schools;P.85.31.10;P853110;853110
85.31.2;Istruzione secondaria di secondo grado di formazione generale: licei;General secondary education: high schools;P.85.31.2;P85312;85312
85.31.20;Istruzione secondaria di secondo grado di formazione generale: licei;General secondary education: high schools;P.85.31.20;P853120;853120
85.32;Istruzione secondaria tecnica e professionale;Technical and vocational secondary education;P.85.32;P8532;8532
85.32.0;Istruzione secondaria di secondo grado di formazione tecnica, professionale e artistica (istituti tecnici, professionali, artistici eccetera);Secondary education for technical, professional and artistic training (technical, professional, artistic institutes, etc.);P.85.32.0;P85320;85320
85.32.01;Scuole di vela e navigazione che rilasciano brevetti o patenti commerciali;Sailing and navigation schools that issue commercial licenses or certificates;P.85.32.01;P853201;853201
85.32.02;Scuole di volo che rilasciano brevetti o patenti commerciali;Flight schools that issue commercial licenses or certificates;P.85.32.02;P853202;853202
85.32.03;Scuole di guida professionale per autisti, ad esempio di autocarri, di autobus e di pullman;Professional driving schools for drivers, e.g. of trucks, buses and coaches;P.85.32.03;P853203;853203
85.32.09;Altra istruzione secondaria di secondo grado di formazione tecnica, professionale e artistica;Other secondary education of technical, professional and artistic training;P.85.32.09;P853209;853209
85.4;ISTRUZIONE POST-SECONDARIA UNIVERSITARIA E NON UNIVERSITARIA;POST-SECONDARY EDUCATION, UNIVERSITY AND NON-UNIVERSITY;P.85.4;P854;854
85.41;Istruzione post-secondaria non universitaria;Post-secondary non-university education;P.85.41;P8541;8541
85.41.0;Istruzione e formazione tecnica superiore (IFTS);Higher Technical Education and Training (IFTS);P.85.41.0;P85410;85410
85.41.00;Istruzione e formazione tecnica superiore (IFTS);Higher Technical Education and Training (IFTS);P.85.41.00;P854100;854100
85.42;"Istruzione universitaria e post-universitaria; accademie e conservatori";"University and postgraduate education; academies and conservatories";P.85.42;P8542;8542
85.42.0;"Istruzione universitaria e post-universitaria; accademie e conservatori";"University and postgraduate education; academies and conservatories";P.85.42.0;P85420;85420
85.42.00;"Istruzione universitaria e post-universitaria; accademie e conservatori";"University and postgraduate education; academies and conservatories";P.85.42.00;P854200;854200
85.5;ALTRI SERVIZI DI ISTRUZIONE;OTHER EDUCATION SERVICES;P.85.5;P855;855
85.51;Corsi sportivi e ricreativi;Sports and recreational courses;P.85.51;P8551;8551
85.51.0;Corsi sportivi e ricreativi;Sports and recreational courses;P.85.51.0;P85510;85510
85.51.00;Corsi sportivi e ricreativi;Sports and recreational courses;P.85.51.00;P855100;855100
85.52;Formazione culturale;Cultural education;P.85.52;P8552;8552
85.52.0;Formazione culturale;Cultural education;P.85.52.0;P85520;85520
85.52.01;Corsi di danza;Dance courses;P.85.52.01;P855201;855201
85.52.09;Altra formazione culturale;Other cultural education;P.85.52.09;P855209;855209
85.53;Attività delle scuole guida;Driving school activities;P.85.53;P8553;8553
85.53.0;Autoscuole, scuole di pilotaggio e nautiche;Driving schools, piloting and nautical schools;P.85.53.0;P85530;85530
85.53.00;Autoscuole, scuole di pilotaggio e nautiche;Driving schools, piloting and nautical schools;P.85.53.00;P855300;855300
85.59;Servizi di istruzione n.c.a.;Education services n.e.c.;P.85.59;P8559;8559
85.59.1;Università popolare;People's University;P.85.59.1;P85591;85591
85.59.10;Università popolare;People's University;P.85.59.10;P855910;855910
85.59.2;Corsi di formazione e corsi di aggiornamento professionale;Training courses and professional development courses;P.85.59.2;P85592;85592
85.59.20;Corsi di formazione e corsi di aggiornamento professionale;Training courses and professional development courses;P.85.59.20;P855920;855920
85.59.3;Scuole e corsi di lingua;Language schools and courses;P.85.59.3;P85593;85593
85.59.30;Scuole e corsi di lingua;Language schools and courses;P.85.59.30;P855930;855930
85.59.9;Altri servizi di istruzione n.c.a.;Other education services n.e.c.;P.85.59.9;P85599;85599
85.59.90;Altri servizi di istruzione n.c.a.;Other education services n.e.c.;P.85.59.90;P855990;855990
85.6;ATTIVITÀ DI SUPPORTO ALL'ISTRUZIONE;EDUCATION SUPPORT ACTIVITIES;P.85.6;P856;856
85.60;Attività di supporto all'istruzione;EDUCATION SUPPORT ACTIVITIES;P.85.60;P8560;8560
85.60.0;Attività di supporto all'istruzione;EDUCATION SUPPORT ACTIVITIES;P.85.60.0;P85600;85600
85.60.01;Consulenza scolastica e servizi di orientamento scolastico;School counseling and orientation services;P.85.60.01;P856001;856001
85.60.09;Altre attività di supporto all'istruzione;Other education support activities;P.85.60.09;P856009;856009
Q;SANITÀ E ASSISTENZA SOCIALE;HEALTH AND SOCIAL CARE;Q;Q;
86;ASSISTENZA SANITARIA;HEALTH CARE;Q.86;Q86;86
86.1;SERVIZI OSPEDALIERI;HOSPITAL SERVICES;Q.86.1;Q861;861
86.10;Servizi ospedalieri;HOSPITAL SERVICES;Q.86.10;Q8610;8610
86.10.1;Ospedali e case di cura generici;General hospitals and nursing homes;Q.86.10.1;Q86101;86101
86.10.10;Ospedali e case di cura generici;General hospitals and nursing homes;Q.86.10.10;Q861010;861010
86.10.2;Ospedali e case di cura specialistici;Specialist hospitals and nursing homes;Q.86.10.2;Q86102;86102
86.10.20;Ospedali e case di cura specialistici;Specialist hospitals and nursing homes;Q.86.10.20;Q861020;861020
86.10.3;Istituti, cliniche e policlinici universitari;University institutes, clinics and polyclinics;Q.86.10.3;Q86103;86103
86.10.30;Istituti, cliniche e policlinici universitari;University institutes, clinics and polyclinics;Q.86.10.30;Q861030;861030
86.10.4;Ospedali e case di cura per lunga degenza;Hospitals and long-term care homes;Q.86.10.4;Q86104;86104
86.10.40;Ospedali e case di cura per lunga degenza;Hospitals and long-term care homes;Q.86.10.40;Q861040;861040
86.2;SERVIZI DEGLI STUDI MEDICI E ODONTOIATRICI;MEDICAL AND DENTAL OFFICE SERVICES;Q.86.2;Q862;862
86.21;Servizi degli studi medici di medicina generale;General medical practice services;Q.86.21;Q8621;8621
86.21.0;Servizi degli studi medici di medicina generale;General medical practice services;Q.86.21.0;Q86210;86210
86.21.00;Servizi degli studi medici di medicina generale;General medical practice services;Q.86.21.00;Q862100;862100
86.22;Servizi degli studi medici specialistici;Specialist medical practice services;Q.86.22;Q8622;8622
86.22.0;Studi medici specialistici e poliambulatori;Specialist medical practices and outpatient clinics;Q.86.22.0;Q86220;86220
86.22.01;Prestazioni sanitarie svolte da chirurghi;Health services performed by surgeons;Q.86.22.01;Q862201;862201
86.22.02;Ambulatori e poliambulatori del Servizio Sanitario Nazionale;Outpatient clinics and polyclinics of the National Health Service;Q.86.22.02;Q862202;862202
86.22.03;Attività dei centri di radioterapia;Activities of radiotherapy centers;Q.86.22.03;Q862203;862203
86.22.04;Attività dei centri di dialisi;Activities of dialysis centers;Q.86.22.04;Q862204;862204
86.22.05;Studi di omeopatia e di agopuntura;Homeopathy and acupuncture studies;Q.86.22.05;Q862205;862205
86.22.06;Centri di medicina estetica;Aesthetic medicine centers;Q.86.22.06;Q862206;862206
86.22.09;Altri studi medici specialistici e poliambulatori;Other specialist medical practices and outpatient clinics;Q.86.22.09;Q862209;862209
86.23;Attività degli studi odontoiatrici;Activities of dental practices;Q.86.23;Q8623;8623
86.23.0;Attività degli studi odontoiatrici;Activities of dental practices;Q.86.23.0;Q86230;86230
86.23.00;Attività degli studi odontoiatrici;Activities of dental practices;Q.86.23.00;Q862300;862300
86.9;ALTRI SERVIZI DI ASSISTENZA SANITARIA;OTHER HEALTH CARE SERVICES;Q.86.9;Q869;869
86.90;Altri servizi di assistenza sanitaria;OTHER HEALTH CARE SERVICES;Q.86.90;Q8690;8690
86.90.1;Laboratori di analisi cliniche, laboratori radiografici ed altri centri di diagnostica per immagini;Clinical analysis laboratories, radiographic laboratories and other diagnostic imaging centers;Q.86.90.1;Q86901;86901
86.90.11;Laboratori radiografici;Radiographic laboratories;Q.86.90.11;Q869011;869011
86.90.12;Laboratori di analisi cliniche;Clinical analysis laboratories;Q.86.90.12;Q869012;869012
86.90.13;Laboratori di igiene e profilassi;Hygiene and prophylaxis laboratories;Q.86.90.13;Q869013;869013
86.90.2;Attività paramediche indipendenti;Independent paramedic activities;Q.86.90.2;Q86902;86902
86.90.21;Fisioterapia;Physiotherapy;Q.86.90.21;Q869021;869021
86.90.29;Altre attività paramediche indipendenti n.c.a.;Other independent paramedical activities n.e.c.;Q.86.90.29;Q869029;869029
86.90.3;Attività svolta da psicologi;Activities carried out by psychologists;Q.86.90.3;Q86903;86903
86.90.30;Attività svolta da psicologi;Activities carried out by psychologists;Q.86.90.30;Q869030;869030
86.90.4;Servizi di ambulanza, delle banche del sangue, degli ambulatori tricologici e altri servizi sanitari n.c.a.;Ambulance, blood bank, trichology clinic and other health services n.e.c.;Q.86.90.4;Q86904;86904
86.90.41;Attività degli ambulatori tricologici;Activities of trichological clinics;Q.86.90.41;Q869041;869041
86.90.42;Servizi di ambulanza, delle banche del sangue e altri servizi sanitari n.c.a.;Ambulance, blood banking and other health services n.e.c.;Q.86.90.42;Q869042;869042
87;SERVIZI DI ASSISTENZA SOCIALE RESIDENZIALE;RESIDENTIAL SOCIAL CARE SERVICES;Q.87;Q87;87
87.1;STRUTTURE DI ASSISTENZA INFERMIERISTICA RESIDENZIALE;RESIDENTIAL NURSING CARE FACILITIES;Q.87.1;Q871;871
87.10;Strutture di assistenza infermieristica residenziale;RESIDENTIAL NURSING CARE FACILITIES;Q.87.10;Q8710;8710
87.10.0;Strutture di assistenza infermieristica residenziale per anziani;Residential nursing care facilities for the elderly;Q.87.10.0;Q87100;87100
87.10.00;Strutture di assistenza infermieristica residenziale per anziani;Residential nursing care facilities for the elderly;Q.87.10.00;Q871000;871000
87.2;STRUTTURE DI ASSISTENZA RESIDENZIALE PER PERSONE AFFETTE DA RITARDI MENTALI, DISTURBI MENTALI O CHE ABUSANO DI SOSTANZE STUPEFACENTI;RESIDENTIAL CARE FACILITIES FOR PERSONS WITH MENTAL RETARDATION, MENTAL DISORDERS OR DRUG ABUSE;Q.87.2;Q872;872
87.20;Strutture di assistenza residenziale per persone affette da ritardi mentali, disturbi mentali o che abusano di sostanze stupefacenti;RESIDENTIAL CARE FACILITIES FOR PERSONS WITH MENTAL RETARDATION, MENTAL DISORDERS OR DRUG ABUSE;Q.87.20;Q8720;8720
87.20.0;Strutture di assistenza residenziale per persone affette da ritardi mentali, disturbi mentali o che abusano di sostanze stupefacenti;RESIDENTIAL CARE FACILITIES FOR PERSONS WITH MENTAL RETARDATION, MENTAL DISORDERS OR DRUG ABUSE;Q.87.20.0;Q87200;87200
87.20.00;Strutture di assistenza residenziale per persone affette da ritardi mentali, disturbi mentali o che abusano di sostanze stupefacenti;RESIDENTIAL CARE FACILITIES FOR PERSONS WITH MENTAL RETARDATION, MENTAL DISORDERS OR DRUG ABUSE;Q.87.20.00;Q872000;872000
87.3;STRUTTURE DI ASSISTENZA RESIDENZIALE PER ANZIANI E DISABILI;RESIDENTIAL CARE FACILITIES FOR THE ELDERLY AND DISABLED;Q.87.3;Q873;873
87.30;Strutture di assistenza residenziale per anziani e disabili;RESIDENTIAL CARE FACILITIES FOR THE ELDERLY AND DISABLED;Q.87.30;Q8730;8730
87.30.0;Strutture di assistenza residenziale per anziani e disabili;RESIDENTIAL CARE FACILITIES FOR THE ELDERLY AND DISABLED;Q.87.30.0;Q87300;87300
87.30.00;Strutture di assistenza residenziale per anziani e disabili;RESIDENTIAL CARE FACILITIES FOR THE ELDERLY AND DISABLED;Q.87.30.00;Q873000;873000
87.9;ALTRE STRUTTURE DI ASSISTENZA SOCIALE RESIDENZIALE;OTHER RESIDENTIAL SOCIAL CARE FACILITIES;Q.87.9;Q879;879
87.90;Altre strutture di assistenza sociale residenziale;OTHER RESIDENTIAL SOCIAL CARE FACILITIES;Q.87.90;Q8790;8790
87.90.0;Altre strutture di assistenza sociale residenziale;OTHER RESIDENTIAL SOCIAL CARE FACILITIES;Q.87.90.0;Q87900;87900
87.90.00;Altre strutture di assistenza sociale residenziale;OTHER RESIDENTIAL SOCIAL CARE FACILITIES;Q.87.90.00;Q879000;879000
88;ASSISTENZA SOCIALE NON RESIDENZIALE;NON-RESIDENTIAL SOCIAL ASSISTANCE;Q.88;Q88;88
88.1;ASSISTENZA SOCIALE NON RESIDENZIALE PER ANZIANI E DISABILI;NON-RESIDENTIAL SOCIAL CARE FOR THE ELDERLY AND DISABLED;Q.88.1;Q881;881
88.10;Assistenza sociale non residenziale per anziani e disabili;NON-RESIDENTIAL SOCIAL CARE FOR THE ELDERLY AND DISABLED;Q.88.10;Q8810;8810
88.10.0;Assistenza sociale non residenziale per anziani e disabili;NON-RESIDENTIAL SOCIAL CARE FOR THE ELDERLY AND DISABLED;Q.88.10.0;Q88100;88100
88.10.00;Assistenza sociale non residenziale per anziani e disabili;NON-RESIDENTIAL SOCIAL CARE FOR THE ELDERLY AND DISABLED;Q.88.10.00;Q881000;881000
88.9;ALTRE ATTIVITÀ DI ASSISTENZA SOCIALE NON RESIDENZIALE;OTHER NON-RESIDENTIAL SOCIAL WORK ACTIVITIES;Q.88.9;Q889;889
88.91;"Servizi di asili nido; assistenza diurna per minori disabili";"Nursery services; day care for disabled children";Q.88.91;Q8891;8891
88.91.0;"Servizi di asili nido; assistenza diurna per minori disabili";"Nursery services; day care for disabled children";Q.88.91.0;Q88910;88910
88.91.00;"Servizi di asili nido; assistenza diurna per minori disabili";"Nursery services; day care for disabled children";Q.88.91.00;Q889100;889100
88.99;Altre attività di assistenza sociale non residenziale n.c.a.;Other non-residential social work activities n.e.c.;Q.88.99;Q8899;8899
88.99.0;Altre attività di assistenza sociale non residenziale n.c.a.;Other non-residential social work activities n.e.c.;Q.88.99.0;Q88990;88990
88.99.00;Altre attività di assistenza sociale non residenziale n.c.a.;Other non-residential social work activities n.e.c.;Q.88.99.00;Q889900;889900
R;ATTIVITÀ ARTISTICHE, SPORTIVE, DI INTRATTENIMENTO E DIVERTIMENTO;ARTISTIC, SPORTS, ENTERTAINMENT AND FUN ACTIVITIES;R;R;
90;ATTIVITÀ CREATIVE, ARTISTICHE E DI INTRATTENIMENTO;CREATIVE, ARTISTIC AND ENTERTAINMENT ACTIVITIES;R.90;R90;90
90.0;ATTIVITÀ CREATIVE, ARTISTICHE E DI INTRATTENIMENTO;CREATIVE, ARTISTIC AND ENTERTAINMENT ACTIVITIES;R.90.0;R900;900
90.01;Rappresentazioni artistiche;Artistic representations;R.90.01;R9001;9001
90.01.0;Rappresentazioni artistiche;Artistic representations;R.90.01.0;R90010;90010
90.01.01;Attività nel campo della recitazione;Activities in the field of acting;R.90.01.01;R900101;900101
90.01.09;Altre rappresentazioni artistiche;Other artistic representations;R.90.01.09;R900109;900109
90.02;Attività di supporto alle rappresentazioni artistiche;Support activities for artistic performances;R.90.02;R9002;9002
90.02.0;Attività di supporto alle rappresentazioni artistiche;Support activities for artistic performances;R.90.02.0;R90020;90020
90.02.01;Noleggio con operatore di strutture ed attrezzature per manifestazioni e spettacoli;Rental with operator of structures and equipment for events and shows;R.90.02.01;R900201;900201
90.02.02;Attività nel campo della regia;Activities in the field of directing;R.90.02.02;R900202;900202
90.02.09;Altre attività di supporto alle rappresentazioni artistiche;Other activities supporting artistic performances;R.90.02.09;R900209;900209
90.03;Creazioni artistiche e letterarie;Artistic and literary creations;R.90.03;R9003;9003
90.03.0;Creazioni artistiche e letterarie;Artistic and literary creations;R.90.03.0;R90030;90030
90.03.01;Attività dei giornalisti indipendenti;Activities of independent journalists;R.90.03.01;R900301;900301
90.03.02;Attività di conservazione e restauro di opere d'arte;Art conservation and restoration activities;R.90.03.02;R900302;900302
